guest_id,park,weather,passholder,ll_use,age,party_size,visit_days,avg_temp_f,walked_miles,num_rides,wait_avg_am,wait_avg_pm,satisfaction_slider,budget,money_spent,spending_day1,spending_day2,plan_style,planned_character_dinner,actual_character_dinner,would_recommend
21,EPCOT,Cloudy,Yes,No,20,7,10,96.4,5.92,20,37.3,57.4,76.4,500,461.15,237.55,82.95,Spontaneous,No,No,Yes
22,Magic Kingdom,Sunny,No,Yes,29,7,4,81.3,12.75,17,54.7,69.8,78.7,400,371.28,161.58,56.82,Planner,No,No,No
23,EPCOT,Rainy,No,No,27,4,3,87.9,12.75,10,41.5,50.6,43.4,200,286.25,149.9,32.22,Mixed,No,Yes,No
24,Magic Kingdom,Cloudy,No,No,49,3,2,65.7,10.59,8,52.1,79,82.2,100,222.48,117.31,22.61,Spontaneous,No,No,Yes
25,Hollywood Studios,Sunny,No,Yes,44,6,9,58.3,13.22,19,38.3,51.6,79,300,331.3,128.87,48.04,Planner,Yes,Yes,Yes
26,Animal Kingdom,Cloudy,No,No,31,4,6,74.7,10.04,9,19.7,32.9,78.8,400,312.38,149.11,85.53,Planner,No,No,Yes
27,Animal Kingdom,Sunny,No,Yes,30,4,6,95.3,10.27,17,19.5,30.1,75.1,200,327.27,153.52,59.44,Spontaneous,No,Yes,Yes
28,EPCOT,Cloudy,Yes,Yes,15,2,5,79.9,2.89,9,21.6,20.7,73.5,300,249.85,108.98,29.24,Planner,Yes,Yes,Yes
29,Hollywood Studios,Cloudy,No,No,45,5,3,87.3,12.56,12,57.1,60.7,84.1,200,295.73,171.46,58.36,Planner,No,No,No
30,EPCOT,Sunny,No,Yes,16,3,11,96.4,11.36,16,42.2,38.2,69,200,385.38,217.87,61.02,Spontaneous,Yes,Yes,No
31,Hollywood Studios,Cloudy,No,No,31,5,3,73.9,8.52,13,44.8,46.3,74.8,200,282.67,120.86,45.08,Planner,No,No,No
32,Animal Kingdom,Sunny,No,No,30,4,4,80.2,9.92,10,34.5,44.8,80.5,200,259.71,154.14,33.81,Planner,No,No,No
33,Animal Kingdom,Cloudy,No,Yes,27,4,5,94.8,8.43,9,31.3,31.7,84,200,334.91,194.56,30.58,Planner,No,Yes,Yes
34,Animal Kingdom,Rainy,No,Yes,35,4,2,93.8,11.56,8,13.5,24.3,81.3,200,274.61,107.71,61.59,Planner,No,No,No
35,EPCOT,Cloudy,No,No,35,5,5,84.5,11.61,13,32.3,43.7,64.4,300,391.95,142.31,107.78,Mixed,No,No,No
36,EPCOT,Sunny,No,No,54,3,4,93.7,10.65,12,38.4,55.9,64.8,200,253.44,98.22,62.85,Mixed,Yes,Yes,No
37,Magic Kingdom,Cloudy,Yes,Yes,32,1,3,84.8,1.5,11,58.6,73.9,77.7,200,283.77,153.51,71.29,Planner,No,Yes,Yes
38,EPCOT,Sunny,No,Yes,43,4,7,85.8,9.96,12,39.9,51.1,67.6,200,325.86,169.36,79.87,Planner,No,No,No
39,Magic Kingdom,Rainy,Yes,Yes,55,5,6,84.8,9.3,12,37.8,54.3,79.2,300,395.31,147.43,120.64,Spontaneous,No,No,Yes
40,Hollywood Studios,Sunny,No,Yes,11,1,6,95.2,8.85,14,52.8,62.5,83.1,300,334.68,156.3,71.31,Planner,No,Yes,Yes
41,EPCOT,Cloudy,Yes,No,51,6,6,79.5,10.56,13,9.8,20.9,76.8,200,361.63,161.54,68.06,Planner,Yes,Yes,No
42,Magic Kingdom,Sunny,No,Yes,41,5,7,83.8,10.85,20,37.7,38.9,85,500,423.17,239.87,76.9,Planner,No,No,Yes
43,EPCOT,Sunny,No,Yes,58,2,4,102,5.17,13,27.5,37.4,73.8,300,230.69,120.42,57.29,Planner,Yes,Yes,Yes
44,EPCOT,Sunny,No,No,25,3,7,61.6,13.98,14,13.2,18.9,58,200,231.94,88.53,37.12,Spontaneous,No,No,No
45,EPCOT,Sunny,No,Yes,64,4,5,75.7,9.65,12,33.1,60.4,59.7,300,293.1,117.54,91.86,Planner,Yes,Yes,Yes
46,Magic Kingdom,Sunny,Yes,Yes,31,8,7,78.9,12.04,13,74.4,80.3,70.8,300,431.35,223.07,88.83,Planner,No,No,No
47,EPCOT,Rainy,Yes,Yes,34,2,3,96.3,8.96,7,50.3,61.4,72.8,200,255.72,127.52,52.28,Spontaneous,No,No,Yes
48,Magic Kingdom,Cloudy,Yes,Yes,65,5,6,79.4,11.28,10,49.1,65.7,82,200,404.66,217.89,89.65,Planner,No,Yes,No
49,Hollywood Studios,Cloudy,Yes,Yes,28,1,5,79.2,13.92,9,33.1,53.1,71.3,100,206.38,91.85,38.26,Mixed,Yes,Yes,Yes
50,Magic Kingdom,Rainy,Yes,No,45,3,8,76.2,10.93,12,52,61.7,70,300,335.28,189.81,78.19,Spontaneous,No,No,Yes
51,Animal Kingdom,Sunny,No,Yes,37,4,7,81.2,9.29,14,18.2,29.4,78.4,200,335.14,123.18,56.55,Mixed,Yes,Yes,Yes
52,EPCOT,Sunny,No,No,46,3,7,80.8,7.82,15,56.5,63.7,72.1,200,301.83,123.51,41.59,Mixed,No,Yes,No
53,Magic Kingdom,Cloudy,No,Yes,37,6,6,66.7,14.34,12,51.9,63.6,60.2,400,370.38,198.39,70.94,Planner,No,Yes,No
54,EPCOT,Sunny,No,Yes,10,6,5,82.7,4.2,7,25.3,50.1,94.3,200,284.33,159.94,61.37,Spontaneous,Yes,Yes,Yes
55,Magic Kingdom,Sunny,No,Yes,7,4,5,70.9,8.09,12,78.5,74.4,75.1,300,279.87,100.52,49.28,Mixed,No,Yes,Yes
56,Hollywood Studios,Sunny,No,No,44,7,3,79,8.49,6,40.6,52.2,74.1,300,300.3,175.23,45.08,Mixed,No,Yes,Yes
57,Magic Kingdom,Sunny,No,No,39,2,9,79.2,7.22,15,69.8,76.3,85,300,325.88,175.59,73.28,Spontaneous,Yes,Yes,No
58,EPCOT,Cloudy,No,No,23,4,5,93.3,15.03,9,32.9,36.2,88.3,300,251.91,146.4,37.04,Mixed,No,No,Yes
59,EPCOT,Sunny,Yes,Yes,46,1,2,80.4,11.57,8,39,48.3,80.9,200,196.67,104.97,45.09,Mixed,Yes,Yes,No
60,Magic Kingdom,Rainy,No,No,28,5,6,68,13.61,15,34.4,41.1,76.6,400,361.1,194.08,35.74,Spontaneous,Yes,Yes,Yes
61,EPCOT,Sunny,Yes,Yes,49,6,7,74.5,14.8,17,51.8,59.1,76,300,341.18,164.19,75.81,Spontaneous,No,No,Yes
62,Animal Kingdom,Sunny,Yes,No,49,7,3,79.9,10.49,9,16.7,28.8,83.1,400,408.37,168.33,104.15,Spontaneous,Yes,Yes,Yes
63,EPCOT,Sunny,No,No,38,5,6,90.7,10.65,13,37.8,50.1,74.7,300,325.06,144.25,78.36,Planner,No,No,Yes
64,Hollywood Studios,Cloudy,No,No,12,2,7,79.5,3.36,11,41.7,57.6,77.1,200,293.83,141.7,38.33,Spontaneous,No,No,Yes
65,Magic Kingdom,Cloudy,Yes,No,33,2,9,66.5,11.64,15,52.3,63,60,400,335.02,142.98,96.69,Spontaneous,Yes,Yes,No
66,EPCOT,Sunny,Yes,Yes,18,4,5,87.9,4.16,8,49.8,68.7,96,200,292.37,112.41,63.83,Mixed,No,Yes,Yes
67,Animal Kingdom,Sunny,No,Yes,31,3,6,86.4,10.54,13,28.6,49.4,73.3,200,324.08,146.12,88.81,Planner,Yes,No,No
68,Hollywood Studios,Sunny,No,Yes,34,7,8,91.8,10.91,17,58.2,62.7,71.4,400,429.34,179.07,146.58,Spontaneous,Yes,Yes,Yes
69,Magic Kingdom,Cloudy,Yes,Yes,9,4,3,79.2,15,11,51.1,58.2,78,200,226.35,109.45,66.65,Mixed,Yes,Yes,No
70,Magic Kingdom,Sunny,No,Yes,47,5,4,90.2,7.94,12,34.5,42.6,88.8,200,258.9,111.59,45.08,Mixed,No,No,Yes
71,Hollywood Studios,Cloudy,No,Yes,22,3,1,85.5,10.19,5,47.9,50.7,82.5,200,224.31,224.31,NA,Mixed,Yes,Yes,Yes
72,Hollywood Studios,Sunny,No,No,32,5,3,90.3,7.68,11,50.5,63.2,75.7,200,NA,NA,NA,Planner,No,Yes,No
73,Animal Kingdom,Cloudy,Yes,No,26,2,6,80.5,6.75,13,30.1,40,71.6,200,297.57,127.37,97.03,Mixed,Yes,Yes,Yes
74,EPCOT,Sunny,No,Yes,23,5,10,102,5.39,11,29.7,45.2,98.6,200,388.56,141.97,92.64,Planner,No,No,Yes
75,Hollywood Studios,Cloudy,No,Yes,37,3,4,84.6,7.89,11,57.7,61,69.4,300,269.58,133.13,35.56,Planner,No,No,Yes
76,Magic Kingdom,Cloudy,Yes,No,39,3,6,83,13.11,17,47.6,45.5,100,400,397.66,235.59,63.2,Planner,Yes,Yes,Yes
77,Magic Kingdom,Cloudy,No,No,40,5,10,95.8,12.4,23,56.5,61.2,78.9,400,386.98,145.68,109.3,Planner,Yes,No,Yes
78,Magic Kingdom,Rainy,No,Yes,8,5,2,91,16.03,6,30.7,42.1,83.3,300,272.66,111.07,76.35,Spontaneous,No,Yes,No
79,Magic Kingdom,Sunny,No,No,37,5,2,85.2,14.06,12,41.7,52.5,83.4,300,341.82,154.19,100.76,Planner,Yes,Yes,Yes
80,EPCOT,Cloudy,Yes,Yes,43,6,5,64.6,13.97,16,44.3,67.7,80.4,200,386.88,143.81,142.87,Planner,No,Yes,Yes
81,Magic Kingdom,Sunny,No,Yes,41,4,4,79,6.52,17,59,73.3,63.6,200,331.47,193,56.44,Planner,No,No,No
82,EPCOT,Rainy,Yes,Yes,21,5,8,93.3,10.13,12,32.1,40.3,82.9,300,388.89,195.12,82.79,Planner,Yes,Yes,Yes
83,Animal Kingdom,Sunny,No,Yes,36,2,4,91.2,9.6,15,9.8,28.7,79.9,200,229.44,110.57,61.63,Mixed,Yes,No,Yes
84,Magic Kingdom,Sunny,Yes,No,41,2,4,84.5,7.86,11,31.2,45.7,77.6,100,200.18,94.3,50.44,Mixed,No,No,Yes
85,Magic Kingdom,Cloudy,No,Yes,57,6,7,93.3,7.47,16,44.8,61.2,70.8,300,380.91,137.76,97.34,Planner,Yes,Yes,No
86,EPCOT,Sunny,No,No,48,5,10,82.5,11.88,16,36.1,45.7,59.3,300,NA,NA,NA,Mixed,No,No,No
87,Hollywood Studios,Sunny,No,No,12,8,7,81.3,9.09,12,45.1,49.5,82.6,400,442.5,186.57,96.12,Planner,No,No,Yes
88,EPCOT,Sunny,No,No,11,4,3,70.1,11.24,15,30.5,44,77.9,300,263.39,126.62,41.04,Spontaneous,Yes,Yes,Yes
89,Hollywood Studios,Sunny,No,Yes,36,1,6,90.4,8.09,10,67.1,77.1,82.4,200,260.92,144.63,27.97,Planner,No,No,No
90,EPCOT,Rainy,No,No,36,3,4,77.6,9.18,17,47.2,54.4,62.5,400,329.22,125.33,75.38,Planner,No,No,Yes
91,Magic Kingdom,Rainy,No,Yes,24,2,5,79.4,8.66,13,19.9,45.3,58.9,200,268.69,110.34,79.53,Planner,Yes,No,No
92,EPCOT,Cloudy,No,Yes,73,4,8,89.5,10.87,10,31.6,47.3,78.2,300,392.32,209.14,42.63,Mixed,No,No,No
93,EPCOT,Sunny,No,No,32,5,6,79.5,4.4,17,46.4,53.1,86.2,300,395.22,154.58,136.76,Planner,No,Yes,Yes
94,EPCOT,Rainy,Yes,Yes,39,3,5,79.2,10.91,10,21.2,35.1,96.6,300,253.94,152.06,39.48,Planner,No,No,Yes
95,Animal Kingdom,Cloudy,Yes,Yes,25,1,8,76.3,9.34,12,21.2,29.6,79.8,300,281.73,135.88,53.77,Planner,Yes,Yes,Yes
96,Animal Kingdom,Sunny,No,No,50,4,4,78.2,7.46,14,29.8,42.8,77.4,300,326.66,185.67,47.13,Planner,No,No,Yes
97,EPCOT,Sunny,No,Yes,36,5,2,77.8,11.51,14,36.8,43.4,75,400,331.18,196.27,70.61,Spontaneous,No,Yes,Yes
98,Magic Kingdom,Sunny,Yes,Yes,29,2,5,78.7,13.78,9,44,71.9,59.7,200,219.57,96.3,59.95,Mixed,No,No,No
99,Magic Kingdom,Sunny,Yes,Yes,30,3,7,68.2,8.97,11,54.9,69.3,100,300,321.63,149.65,73.88,Mixed,No,Yes,Yes
100,Magic Kingdom,Cloudy,No,No,38,2,6,87.1,9.79,11,46.4,46.1,80,400,330.82,126.68,95.96,Spontaneous,No,Yes,Yes
101,Hollywood Studios,Sunny,No,No,47,2,7,68.4,11,15,45.4,43.5,89.4,300,272.06,100.49,68.59,Spontaneous,No,No,No
102,Animal Kingdom,Cloudy,No,Yes,30,6,3,76.5,13.38,14,27.2,47.1,92.5,300,334.14,148.35,108.25,Mixed,No,No,Yes
103,Hollywood Studios,Sunny,No,Yes,44,1,9,81.1,12.65,16,44,60.8,73.7,300,318.55,190.98,33.83,Planner,No,No,No
104,Magic Kingdom,Sunny,Yes,No,36,6,6,88.6,11.23,14,49,56.7,88,300,348.89,178.64,86.92,Planner,Yes,No,Yes
105,Magic Kingdom,Cloudy,No,No,29,4,4,84.8,8.39,12,48.3,55.3,82.9,300,342.83,126.62,55.79,Planner,No,No,Yes
106,Magic Kingdom,Cloudy,No,No,28,5,4,77.5,11.95,14,40.3,54.9,74.8,300,340.62,199.86,67.78,Mixed,Yes,No,No
107,Animal Kingdom,Cloudy,No,No,48,4,8,76.4,10.14,20,28.8,43.6,82.4,200,375.03,207.37,78.65,Spontaneous,No,No,Yes
108,Magic Kingdom,Sunny,No,Yes,36,3,4,76.1,7.77,11,44,46.5,70.9,300,372.5,196.7,67.84,Spontaneous,No,No,No
109,Magic Kingdom,Cloudy,No,Yes,7,2,8,79.9,10.97,16,43.5,57,68.2,300,348.6,196.71,47.13,Spontaneous,No,No,No
110,Hollywood Studios,Rainy,No,No,34,2,5,79,8.89,9,44,46,84.6,200,238.54,111.58,31.2,Spontaneous,No,Yes,No
111,Magic Kingdom,Cloudy,No,Yes,27,4,5,72.8,4.95,9,54.7,60.6,82.4,200,263.7,101.81,88.15,Mixed,No,No,Yes
112,Animal Kingdom,Cloudy,No,No,40,3,7,83.6,14.52,15,28.9,34.2,51.2,200,290.14,118.38,85,Mixed,Yes,Yes,No
113,Animal Kingdom,Cloudy,No,No,57,5,7,79.2,10.18,16,29,45.8,76.6,300,346.32,173.5,102.83,Planner,No,No,Yes
114,EPCOT,Sunny,No,Yes,34,6,8,76.7,9.83,14,35.5,39.7,86.9,400,365.15,174.62,77.35,Planner,No,Yes,Yes
115,Hollywood Studios,Cloudy,Yes,No,26,4,10,86.6,11.51,20,36.2,34.3,68.7,400,390.08,186.73,77.28,Planner,No,Yes,Yes
116,Animal Kingdom,Rainy,No,Yes,44,4,6,75.4,8.05,11,12.9,25.8,79.7,200,250.15,149.29,31.35,Spontaneous,Yes,Yes,Yes
117,Hollywood Studios,Sunny,No,Yes,62,4,6,95,4,10,40.5,59.1,79.9,300,326.65,164.79,33.86,Planner,No,No,Yes
118,Magic Kingdom,Sunny,Yes,No,26,1,7,87.5,10.89,14,38.7,51.3,74.5,300,323.27,131.91,39.07,Planner,No,No,Yes
119,Animal Kingdom,Cloudy,Yes,No,51,3,5,102,12.69,16,24.4,29.4,67,300,348.59,177.84,58.05,Mixed,Yes,Yes,No
120,Animal Kingdom,Sunny,No,Yes,39,4,5,87,11.09,11,41.2,47.5,74.9,200,262.27,132.55,33.08,Spontaneous,No,No,Yes
121,Animal Kingdom,Cloudy,No,No,44,7,6,77.8,5.66,11,42.1,46.7,76.6,400,435.3,168.3,83.54,Planner,No,No,Yes
122,EPCOT,Cloudy,Yes,No,50,1,7,84.6,7.81,10,5,23.6,85,300,288.45,148.15,60.72,Spontaneous,Yes,Yes,Yes
123,Hollywood Studios,Sunny,No,No,46,4,2,85.5,14.39,5,37.3,58.1,76.1,200,207.89,94.63,55.05,Planner,No,No,Yes
124,EPCOT,Cloudy,No,No,38,5,4,86.3,11.09,15,31.1,40.7,75.1,300,337.68,158.06,70.48,Planner,Yes,Yes,Yes
125,EPCOT,Rainy,No,Yes,37,4,5,62.4,9.99,19,25.6,44.3,79,200,285.8,151.34,69.19,Spontaneous,No,No,Yes
126,Animal Kingdom,Cloudy,No,No,38,2,3,76.6,7.88,11,20.5,45.6,61.5,200,228.07,126.18,49.3,Planner,No,No,No
127,EPCOT,Sunny,No,No,44,5,3,76.3,8.75,15,51.1,52.4,68.9,300,297.78,137.35,69.35,Mixed,No,Yes,No
128,EPCOT,Sunny,Yes,Yes,34,4,5,94.5,11.24,10,25.2,32.9,70.5,200,294.99,115.12,43.72,Planner,No,No,No
129,Hollywood Studios,Rainy,Yes,Yes,27,7,6,72.3,9.9,17,41.3,46.7,74,300,324.52,193.5,50.02,Planner,Yes,Yes,No
130,Animal Kingdom,Cloudy,No,No,27,6,3,85.7,9.17,12,45.1,53.9,78.4,300,283.26,123.81,92.05,Mixed,Yes,Yes,Yes
131,EPCOT,Cloudy,Yes,Yes,17,3,2,82.2,10.87,7,38.4,40,75.8,100,166.51,61.17,45.27,Mixed,No,Yes,No
132,Magic Kingdom,Cloudy,No,Yes,17,2,6,74.4,9.3,17,38.5,51.1,63,300,250.21,121.11,30.03,Planner,Yes,Yes,No
133,EPCOT,Sunny,No,No,20,4,5,91,13.67,15,20.6,39.8,65.6,300,364.04,182.01,73.22,Spontaneous,No,No,Yes
134,Magic Kingdom,Sunny,No,No,51,4,6,86.2,11.18,17,39.1,52.9,94.8,300,312.5,183.9,51.86,Planner,No,No,Yes
135,Animal Kingdom,Sunny,Yes,Yes,40,3,2,84.7,5.66,18,21.9,30.8,81.3,200,NA,NA,NA,Planner,No,Yes,Yes
136,EPCOT,Sunny,No,Yes,37,6,6,95.5,11.82,8,34.5,52.9,87.1,300,369.9,131.64,138.61,Planner,Yes,No,Yes
137,EPCOT,Cloudy,No,No,45,6,7,92.1,8.97,19,29.6,37,71.4,300,424.11,231.98,47.2,Mixed,Yes,Yes,No
138,EPCOT,Rainy,No,Yes,62,4,5,92,14.7,11,22.7,37.2,69.7,200,254.37,142.6,28.74,Spontaneous,No,Yes,Yes
139,Animal Kingdom,Sunny,Yes,No,16,6,5,92,11.58,14,29.8,41.9,81.4,200,338.16,139.45,58.9,Spontaneous,Yes,Yes,Yes
140,Animal Kingdom,Sunny,No,No,44,5,5,78.1,14.31,10,35,36.9,79.6,200,336.61,132.73,51.08,Planner,Yes,Yes,Yes
141,Hollywood Studios,Cloudy,No,No,37,3,3,81.9,5.87,11,58,59.8,79.5,200,342.69,141.27,74.39,Planner,Yes,Yes,No
142,Magic Kingdom,Sunny,No,No,38,9,7,76.5,11.5,17,35.2,54,76.8,400,384.18,190.41,104.87,Mixed,No,Yes,No
143,Hollywood Studios,Cloudy,No,Yes,20,6,10,88.6,13.55,17,32.7,50.4,83.4,300,374.94,138.63,59.29,Spontaneous,Yes,Yes,Yes
144,EPCOT,Cloudy,Yes,No,26,3,6,91.5,14.98,12,38.8,56.1,97.2,200,278.3,117.06,78.9,Spontaneous,Yes,Yes,Yes
145,Hollywood Studios,Cloudy,No,No,13,3,5,74.5,12.65,5,44.4,50.3,57.1,300,303.47,166.09,58.56,Planner,No,No,No
146,Magic Kingdom,Rainy,Yes,Yes,24,4,7,79.4,8.55,12,34.4,42.2,80.5,300,358.17,186.9,67.65,Spontaneous,No,No,Yes
147,Magic Kingdom,Cloudy,No,Yes,37,4,3,81.6,10.61,8,49.8,65.6,64.5,200,245.6,146.03,38.08,Mixed,Yes,Yes,No
148,Magic Kingdom,Sunny,Yes,Yes,48,6,5,71.3,10.25,16,47.2,51,87.6,300,305.67,175.92,30.83,Planner,No,Yes,Yes
149,Animal Kingdom,Sunny,No,Yes,18,5,9,70.7,6.46,16,22.2,39.9,85.5,300,388.53,195.93,84.25,Spontaneous,No,No,No
150,Animal Kingdom,Sunny,Yes,Yes,15,2,6,69.1,11.07,15,48.4,51.9,74,200,289.88,151,48.44,Planner,Yes,Yes,Yes
151,Hollywood Studios,Cloudy,No,No,38,4,9,78.4,7.71,9,23.9,42.9,66.5,300,349.18,133.6,95.3,Planner,No,No,No
152,Magic Kingdom,Sunny,No,Yes,44,2,7,74.5,8.09,17,40,56.6,73.4,400,313.59,146.22,47.4,Planner,No,Yes,No
153,Magic Kingdom,Sunny,Yes,Yes,56,5,6,87.2,14.22,5,62.3,71.8,79.9,200,340.96,198.9,79.67,Planner,No,Yes,Yes
154,Animal Kingdom,Rainy,No,No,19,3,8,56.3,11.62,16,15.3,29.2,70.5,200,262.43,148.51,59.53,Planner,Yes,Yes,Yes
155,EPCOT,Cloudy,No,No,23,4,7,84.5,13.34,15,26.9,35,68.7,300,368.73,183.37,44.49,Planner,No,No,Yes
156,EPCOT,Sunny,No,No,40,7,7,86.8,10.06,12,39.7,51.2,88,400,426.54,214.62,95.29,Planner,Yes,Yes,Yes
157,EPCOT,Cloudy,Yes,No,31,4,5,96.5,11.31,16,27.6,48.8,70.6,300,295.5,105.16,64.33,Planner,No,No,No
158,Animal Kingdom,Cloudy,No,Yes,46,3,7,86,14.67,15,30.9,35.7,93.5,300,321.29,145.42,77.02,Planner,No,No,Yes
159,EPCOT,Cloudy,Yes,No,34,1,10,83.8,10.7,21,20.9,26.9,67.7,400,373.66,145.81,131.12,Planner,No,No,Yes
160,Animal Kingdom,Sunny,No,No,29,4,5,85,12.84,12,18.7,19.6,70,300,374.92,138.63,99.37,Mixed,Yes,Yes,No
161,Hollywood Studios,Sunny,Yes,No,35,3,4,84.3,6.62,13,35.3,37.9,61.7,200,NA,NA,NA,Spontaneous,Yes,No,Yes
162,Animal Kingdom,Cloudy,Yes,No,29,2,3,79.8,8.55,11,31.8,43.8,81.5,300,271.81,120.28,60.64,Planner,No,Yes,Yes
163,Hollywood Studios,Rainy,No,No,28,6,7,68.2,10.33,11,25.1,47.9,70.8,300,342.26,184.19,87.83,Spontaneous,No,Yes,No
164,EPCOT,Cloudy,Yes,Yes,78,5,3,76.7,12.68,13,34.2,57.7,93.7,300,290.39,129.41,67.42,Mixed,No,No,Yes
165,EPCOT,Sunny,No,No,57,3,8,75.7,10.34,13,41.2,43.6,66.6,200,277.31,150.11,28.32,Planner,Yes,No,No
166,Hollywood Studios,Cloudy,No,No,36,6,2,75.3,9.96,9,63.4,69.3,72.7,300,341.8,169.5,83.9,Mixed,No,Yes,No
167,Hollywood Studios,Cloudy,No,Yes,48,3,1,85,9.99,10,41.9,53.2,79.9,200,208.93,208.93,NA,Mixed,Yes,Yes,Yes
168,Hollywood Studios,Cloudy,No,No,6,4,4,71,16.35,11,35.2,46,78.8,200,299.14,149.34,72.69,Spontaneous,No,Yes,Yes
169,Hollywood Studios,Cloudy,No,Yes,24,5,6,73.2,11.72,13,73.9,79.7,88.8,300,367.06,156.65,53.69,Mixed,Yes,Yes,Yes
170,EPCOT,Sunny,Yes,Yes,32,5,4,81.6,8.17,12,20.4,36.5,82.5,200,307.31,178.19,29.15,Planner,Yes,No,Yes
171,Magic Kingdom,Rainy,No,No,56,5,8,75.6,7.64,18,41.4,44,68.2,300,376.44,213.92,57.82,Planner,Yes,Yes,Yes
172,Magic Kingdom,Sunny,No,No,13,1,6,92,9.62,13,54.9,58.2,66.6,200,302.88,168.13,51.35,Planner,Yes,Yes,No
173,Magic Kingdom,Rainy,No,Yes,5,6,5,91.9,6.64,11,44.9,55.4,54.6,200,373.24,159.61,89.4,Spontaneous,No,Yes,Yes
174,Animal Kingdom,Cloudy,Yes,Yes,17,4,8,87.8,12.08,20,21.7,26.5,97.7,400,359.79,162.98,73.51,Mixed,Yes,Yes,Yes
175,Magic Kingdom,Sunny,No,No,54,4,6,84.6,10.77,13,35.2,46.3,66.6,300,356.54,151.74,67.53,Planner,Yes,Yes,Yes
176,Magic Kingdom,Cloudy,No,Yes,27,2,6,75.3,8.28,8,56.1,70.1,77.8,300,279.76,124.34,37.73,Spontaneous,No,Yes,No
177,Magic Kingdom,Sunny,Yes,No,14,3,5,86,12.82,14,58.9,68,76.9,300,298,114.21,97.01,Planner,Yes,Yes,Yes
178,Animal Kingdom,Cloudy,Yes,No,33,3,9,83.7,12.4,16,45.6,54.7,66.9,300,317.51,164.72,44.05,Spontaneous,No,No,Yes
179,Magic Kingdom,Cloudy,No,No,53,2,9,87,5.29,14,50.4,60.9,72.8,400,408.06,180.31,84.37,Planner,Yes,Yes,No
180,Animal Kingdom,Sunny,No,No,44,6,5,102,12.06,11,40.5,45.7,82.1,200,352.1,133.18,86.15,Planner,No,No,No
